record_identity,operator,unique_journey_identifier,unique_identifier,route_number_(identifier),route_direction,has_duplicated_stops,location,published_arrival_time,published_departure_time,next_stop_id,next_stop_arrival_time,operates_on_mondays,operates_on_tuesdays,operates_on_wednesdays,operates_on_thursdays,operates_on_fridays,operates_on_saturdays,operates_on_sundays,first_date_of_operation,last_date_of_operation,school_term_time,activity_flag,bank_holidays,running_board,vehicle_type,registration_number,bay_number,fare_stage_indicator,timing_point_indicator
QO,RDT,000001,RDT000001,483,I,0,25001899,,06:37:00,2500IMG2908,06:37:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,,X,999999,BUS,99999999,,F0,T1
QI,RDT,000001,RDT000001,483,I,0,2500IMG2908,06:37:00,06:37:00,2500IMG2905,06:38:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500IMG2905,06:38:00,06:38:00,2500DCL513,06:39:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500DCL513,06:39:00,06:39:00,2500IMG1999,06:39:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500IMG1999,06:39:00,06:39:00,2500IMG2911,06:40:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500IMG2911,06:40:00,06:40:00,2500IMG2912,06:41:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500IMG2912,06:41:00,06:41:00,25001434,06:42:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,25001434,06:42:00,06:42:00,2500LAA07095,06:42:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T1
QI,RDT,000001,RDT000001,483,I,0,2500LAA07095,06:42:00,06:42:00,2500IMG2915,06:42:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500IMG2915,06:42:00,06:42:00,2500LAA07097,06:43:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500LAA07097,06:43:00,06:43:00,2500DCL512,06:43:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500DCL512,06:43:00,06:43:00,2500IMG2918,06:43:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500IMG2918,06:43:00,06:43:00,25001437,06:43:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,25001437,06:43:00,06:43:00,2500LAA07101,06:44:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500LAA07101,06:44:00,06:44:00,2500LAA07103,06:44:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
QI,RDT,000001,RDT000001,483,I,0,2500LAA07103,06:44:00,06:44:00,2500LAA07105,06:44:00,1,1,1,1,1,0,0,2018-04-08,20991231,0,B,X,999999,BUS,99999999,,F0,T0
